iso3c,country_wdi,population_2023,population_2000
LIE,Liechtenstein,39846,32645
LTU,Lithuania,2871585,3499536
LUX,Luxembourg,666430,436300
MAC,"Macao SAR, China",678800,430600
MDG,Madagascar,31195932,16516338
MWI,Malawi,21104482,11315942
MYS,Malaysia,35126298,22967816
MDV,Maldives,525994,282019
MLI,Mali,23769127,11559290
MLT,Malta,552747,390087
MHL,Marshall Islands,38827,50706
MRT,Mauritania,5022441,2613441
MUS,Mauritius,1248647,1186873
MEX,Mexico,129739759,98625552
FSM,"Micronesia, Fed. Sts.",112630,112044
MDA,Moldova,2457783,2924668
MCO,Monaco,38956,32455
MNG,Mongolia,3481145,2388299
MNE,Montenegro,623529,604950
MAR,Morocco,37712505,28423435
MOZ,Mozambique,33635160,18129653
MMR,Myanmar,54133798,45290841
NAM,Namibia,2963095,1818647
NRU,Nauru,11875,10168
NPL,Nepal,29694614,24546509
NLD,Netherlands,17877117,15925513
NCL,New Caledonia,289870,223098
NZL,New Zealand,5200000,3857700
NIC,Nicaragua,6823613,5022633
NER,Niger,26159867,11509630
NGA,Nigeria,227882945,126382494
MKD,North Macedonia,1827816,2026350
MNP,Northern Mariana Islands,45143,68356
NOR,Norway,5519601,4490967
OMN,Oman,5049269,2282131
PAK,Pakistan,247504495,154879127
PLW,Palau,17727,19178
PAN,Panama,4458759,3010369
PNG,Papua New Guinea,10389635,5537064
PRY,Paraguay,6844146,5100868
PER,Peru,33845617,26598331
PHL,Philippines,114891199,79625397
POL,Poland,36687353,38258629
PRT,Portugal,10578174,10289898
PRI,Puerto Rico (US),3203792,3810605
QAT,Qatar,2656032,644989
ROU,Romania,19061062,22442971
RUS,Russian Federation,143826130,146596869
RWA,Rwanda,13954471,8213931
WSM,Samoa,216663,181685
SMR,San Marino,33860,26799
STP,Sao Tome and Principe,230871,144018
SAU,Saudi Arabia,33702731,16177722
SEN,Senegal,18077573,9968260
SRB,Serbia,6623183,7516346
SYC,Seychelles,119773,81131
SLE,Sierra Leone,8460512,4423611
SGP,Singapore,5917648,4027887
SXM,Sint Maarten (Dutch part),42749,30773
SVK,Slovak Republic,5426740,5388720
SVN,Slovenia,2120461,1988925
SLB,Solomon Islands,800005,440469
SOM,"Somalia, Fed. Rep.",18358615,8838713
ZAF,South Africa,63212384,47159719
SSD,South Sudan,11483374,6032267
ESP,Spain,48352528,40567864
LKA,Sri Lanka,22037000,19293054
KNA,St. Kitts and Nevis,46758,45248
LCA,St. Lucia,179285,158616
MAF,St. Martin (French part),27515,29996
VCT,St. Vincent and the Grenadines,101323,113545
SDN,Sudan,50042791,27816745
SUR,Suriname,628886,476643
SWE,Sweden,10536632,8872109
CHE,Switzerland,8888822,7184250
SYR,Syrian Arab Republic,23594623,16637888
TJK,Tajikistan,10389799,6284735
TZA,Tanzania,66617606,34260139
THA,Thailand,71702435,63007815
TLS,Timor-Leste,1384286,745088
TGO,Togo,9304337,5140037
TON,Tonga,104597,102677
TTO,Trinidad and Tobago,1367510,1319774
TUN,Tunisia,12200431,9764935
TUR,Turkiye,85325965,65425961
TKM,Turkmenistan,7364438,4582677
TCA,Turks and Caicos Islands,46198,18730
TUV,Tuvalu,9816,9544
UGA,Uganda,48656601,24000150
UKR,Ukraine,37732836,49556660
ARE,United Arab Emirates,10483751,3493575
GBR,United Kingdom,68492000,58892514
USA,United States,336806231,282162411
URY,Uruguay,3388081,3266206
UZB,Uzbekistan,35652307,24787054
VUT,Vanuatu,320409,186281
VEN,"Venezuela, RB",28300854,24526708
VNM,Viet Nam,100352192,77154011
VIR,Virgin Islands (U.S.),104917,108642
PSE,West Bank and Gaza,5165775,2922153
YEM,"Yemen, Rep.",39390799,19624141
ZMB,Zambia,20723965,10017631
ZWE,Zimbabwe,16340822,11892055
